公司名称	公司类型	融资阶段	标签	公司规模	公司所在地	职位类型	学历要求	福利	薪资	工作经验
89	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	南山区	开发/测试/运维类	本科	物联网项目,六险一金,周末双休	10k-20k	3-5年
90	深圳市凯欧链科技有限公司	移动互联网	未融资	['""']	15-50人	福田区	开发/测试/运维类	本科	绩效奖金	35k-50k	10年以上
91	深圳市无极云区块链互联网技术开发有限公司	移动互联网	不需要融资	['""']	50-150人	南山区	开发/测试/运维类	本科	五险一金,弹性工作,绩效奖金,弹性工作	12k-18k	5-10年
92	深圳市镜玩科技有限公司	移动互联网,社交网络	不需要融资	[]	50-150人	南山区	开发/测试/运维类	大专	年底双薪,节日福利,带薪年假,年轻化团队	12k-17k	3-5年
93	深圳市乐途宝网络科技有限公司	移动互联网	B轮	['技能培训', '节日礼物', '股票期权', '带薪年假']	50-150人	南山区	开发/测试/运维类	大专	技术大牛,平台好,弹性上班	15k-25k	3-5年
94	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	南山区	开发/测试/运维类	大专	平台大，福利高	11k-15k	3-5年
95	深圳市小摩豆网络科技有限公司	移动互联网	A轮	['年底双薪', '节日礼物', '弹性工作', '岗位晋升']	50-150人	福田区	技术	大专	股权激励、有竞争力的薪酬、公司发展前景好	10k-15k	3-5年
96	深圳达飞金融控股有限公司	移动互联网,金融	不需要融资	['节日礼物', '年底双薪', '股票期权', '带薪年假']	2000人以上	福田区	开发/测试/运维类	本科	大数据方向 风控	15k-30k	1-3年
97	上海壹账通金融科技有限公司	移动互联网,金融	上市公司	['绩效奖金', '专项奖金', '五险一金', '带薪年假']	500-2000人	福田区	开发/测试/运维类	本科	团队氛围好,学习机会多,大平台	24k-40k	5-10年
98	深圳市誉天智骏教育科技有限公司	教育,生活服务	不需要融资	['节日礼物', '年底双薪', '专项奖金', '带薪年假']	150-500人	福田区	开发/测试/运维类	本科	机会多,挑战大,早期发展,重点产品	20k-30k	5-10年
